x_squared,xy,y_squared,x_plus_y,x_plus_2y
36.1,13.49,5.04,8.25,10.5
25.37,40.24,63.84,13.03,21.02
48.77,33.41,22.88,11.77,16.55
71.59,10.14,1.44,9.66,10.86
33.83,11.81,4.12,7.85,9.88
20.23,31.82,50.05,11.57,18.65
24.16,18.91,14.79,8.76,12.61
5.93,19.21,62.2,10.32,18.21
30.48,22.45,16.53,9.59,13.65
56.09,59.32,62.73,15.41,23.33
0.42,5.87,82.32,9.72,18.79
10.76,25.7,61.4,11.12,18.95
8.85,0.22,0.01,3.05,3.12
74.58,9.43,1.19,9.73,10.82
86.5,15.02,2.61,10.92,12.53
55.21,14.62,3.87,9.4,11.37
77.36,5.34,0.37,9.4,10.01
17.36,25.41,37.17,10.26,16.36
24.59,17.39,12.29,8.46,11.97
12.46,2.35,0.44,4.2,4.86
0.07,2.44,82.11,9.33,18.39
47.34,7.31,1.13,7.94,9.0
0.58,1.0,1.71,2.07,3.38
90.11,34.38,13.12,13.11,16.74
40.33,28.57,20.25,10.85,15.35
21.2,43.26,88.28,14.0,23.4
83.64,59.21,41.91,15.62,22.09
49.36,16.32,5.4,9.35,11.67
4.01,12.82,40.97,8.4,14.8
31.36,26.22,21.93,10.28,14.97
6.05,15.42,39.32,8.73,15.0
79.04,71.0,63.78,16.88,24.86
17.41,22.38,28.79,9.54,14.9
84.31,48.18,27.53,14.43,19.68
0.21,3.23,50.47,7.56,14.66
83.56,13.31,2.12,10.6,12.05
24.98,44.85,80.52,13.97,22.95
97.85,13.81,1.95,11.29,12.68
42.61,26.32,16.25,10.56,14.59
28.85,36.24,45.52,12.12,18.86
15.19,19.32,24.58,8.85,13.81
45.96,13.87,4.19,8.83,10.87
90.8,28.69,9.06,12.54,15.55
97.77,53.13,28.88,15.26,20.64
52.92,1.45,0.04,7.47,7.67
31.91,28.36,25.2,10.67,15.69
10.13,9.42,8.76,6.14,9.1
70.81,61.99,54.26,15.78,23.15
31.57,52.85,88.5,15.03,24.43
12.77,9.79,7.51,6.31,9.05
20.91,40.76,79.44,13.49,22.4
0.27,0.89,2.96,2.24,3.96
9.03,13.19,19.27,7.4,11.78
0.23,0.23,0.24,0.97,1.46
94.31,37.18,14.66,13.54,17.37
0.38,1.22,3.94,2.6,4.58
0.18,2.89,46.67,7.25,14.09
7.51,20.49,55.89,10.22,17.69
86.4,56.48,36.92,15.37,21.45
54.48,41.55,31.69,13.01,18.64
2.78,5.17,9.62,4.77,7.87
64.73,23.64,8.64,10.98,13.92
67.93,63.68,59.69,15.97,23.69
6.0,2.55,1.09,3.49,4.53
1.01,3.17,9.94,4.16,7.31
16.17,13.21,10.8,7.31,10.59
79.39,30.72,11.89,12.36,15.81
57.98,67.55,78.71,16.49,25.36
0.02,1.14,56.41,7.66,15.17
30.65,22.15,16.01,9.54,13.54
96.24,23.53,5.75,12.21,14.61
96.36,3.33,0.12,10.16,10.49
0.01,0.38,17.76,4.3,8.52
2.2,6.22,17.55,5.67,9.86
34.57,53.99,84.32,15.06,24.25
89.33,36.97,15.3,13.36,17.27
49.04,9.03,1.66,8.29,9.58
0.01,0.39,15.92,4.09,8.08
71.38,23.71,7.87,11.25,14.06
24.93,39.54,62.73,12.91,20.83
12.44,17.41,24.35,8.46,13.4
0.03,0.59,10.8,3.47,6.75
72.27,9.96,1.37,9.67,10.84
24.57,4.3,0.75,5.82,6.69
19.06,22.21,25.87,9.45,14.54
17.74,32.56,59.76,11.94,19.67
3.35,17.37,90.15,11.32,20.82
28.75,6.81,1.61,6.63,7.9
2.39,3.77,5.95,3.98,6.42
94.59,0.19,0.0,9.75,9.76
0.72,6.96,67.61,9.07,17.29
54.97,49.05,43.77,14.03,20.65
35.5,46.56,61.07,13.77,21.59
51.2,52.18,53.17,14.45,21.74
0.48,2.43,12.18,4.19,7.68
81.85,48.97,29.3,14.46,19.87
2.64,9.15,31.75,7.26,12.89
3.43,9.86,28.34,7.18,12.5
6.49,13.72,29.02,7.93,13.32
36.95,47.91,62.12,13.96,21.84
46.93,66.05,92.96,16.49,26.13
63.59,23.34,8.57,10.9,13.83
1.72,7.16,29.75,6.77,12.22
8.96,14.77,24.34,7.93,12.86
26.86,14.98,8.35,8.07,10.96
94.86,26.74,7.54,12.49,15.23
34.49,56.02,90.98,15.41,24.95
0.0,0.65,96.64,9.9,19.73
11.31,25.72,58.5,11.01,18.66
46.25,59.06,75.42,15.49,24.17
51.44,9.71,1.83,8.53,9.88
23.41,33.66,48.38,11.79,18.75
98.62,72.93,53.94,17.27,24.62
39.73,11.92,3.58,8.19,10.09
62.26,63.81,65.4,15.98,24.06
87.28,26.78,8.22,12.21,15.08
6.83,17.46,44.63,9.29,15.98
8.42,4.6,2.51,4.49,6.07
99.86,3.27,0.11,10.32,10.65
91.87,55.51,33.54,15.38,21.17
76.73,72.91,69.29,17.08,25.41
6.28,7.64,9.3,5.56,8.61
86.0,49.99,29.05,14.66,20.05
14.0,8.03,4.61,5.89,8.04
54.57,7.83,1.12,8.45,9.51
35.95,26.06,18.89,10.34,14.69
90.2,25.33,7.11,12.16,14.83
1.0,5.53,30.52,6.53,12.05
10.84,25.89,61.84,11.16,19.02
96.33,63.73,42.16,16.31,22.8
82.65,46.87,26.59,14.25,19.4
2.71,11.07,45.22,8.37,15.1
61.29,23.73,9.19,10.86,13.89
50.9,44.04,38.1,13.31,19.48
95.53,1.78,0.03,9.96,10.14
16.7,20.37,24.85,9.07,14.06
0.98,3.81,14.74,4.83,8.67
11.69,29.0,71.96,11.9,20.38
1.63,3.84,9.02,4.28,7.28
15.33,5.98,2.33,5.44,6.97
1.8,0.06,0.0,1.39,1.44
8.41,9.6,10.96,6.21,9.52
17.21,14.08,11.53,7.54,10.94
21.7,42.81,84.49,13.85,23.04
12.77,23.92,44.81,10.27,16.96
2.25,13.63,82.43,10.58,19.66
16.35,17.18,18.07,8.29,12.54
50.59,30.47,18.35,11.4,15.68
63.78,79.01,97.86,17.88,27.77
29.85,45.43,69.14,13.78,22.09
2.53,10.05,39.85,7.9,14.22
3.45,7.07,14.5,5.66,9.47
27.01,49.05,89.08,14.63,24.07
9.83,11.4,13.23,6.77,10.41
53.22,9.75,1.78,8.63,9.97
13.19,25.9,50.84,10.76,17.89
18.25,9.52,4.96,6.5,8.73
53.72,42.47,33.57,13.12,18.92
38.39,28.7,21.46,10.83,15.46
1.6,10.2,65.19,9.34,17.41
0.22,0.77,2.66,2.1,3.73
59.29,5.76,0.56,8.45,9.2
0.04,1.78,87.01,9.52,18.85
63.42,49.52,38.66,14.18,20.4
43.29,27.08,16.95,10.7,14.81
18.14,13.14,9.52,7.34,10.43
87.01,5.22,0.31,9.89,10.45
6.09,1.76,0.51,3.18,3.89
12.4,7.9,5.03,5.76,8.01
25.17,47.75,90.6,14.54,24.05
9.8,11.13,12.64,6.69,10.24
5.06,5.21,5.36,4.56,6.88
38.77,44.87,51.95,13.43,20.64
4.48,2.22,1.09,3.16,4.21
47.01,18.51,7.29,9.56,12.26
0.14,3.2,72.4,8.88,17.39
6.98,25.16,90.79,12.17,21.7
37.5,40.2,43.1,12.69,19.25
87.65,71.58,58.45,17.01,24.65
45.74,6.48,0.92,7.72,8.68
22.7,45.9,92.78,14.4,24.03
87.99,58.67,39.12,15.64,21.89
89.09,72.29,58.67,17.1,24.76
82.15,13.61,2.26,10.57,12.07
13.6,12.23,11.0,7.0,10.32
0.21,3.39,53.44,7.77,15.08
43.18,14.75,5.04,8.82,11.06
10.74,7.86,5.76,5.68,8.08
20.53,23.39,26.64,9.69,14.85
0.9,7.0,54.59,8.34,15.72
0.01,0.45,14.84,3.97,7.82
5.31,12.96,31.64,7.93,13.55
14.64,35.24,84.8,13.03,22.24
90.57,76.22,64.14,17.53,25.53
4.6,10.02,21.82,6.82,11.49
0.04,0.47,5.2,2.49,4.77
0.86,4.39,22.36,5.66,10.39
5.69,19.47,66.63,10.55,18.71
24.07,20.78,17.94,9.14,13.38
58.72,65.82,73.79,16.25,24.84
0.5,4.7,44.29,7.36,14.02
8.9,13.28,19.8,7.43,11.88
20.41,26.17,33.54,10.31,16.1
63.3,62.31,61.34,15.79,23.62
18.82,25.04,33.32,10.11,15.88
92.73,45.37,22.2,14.34,19.05
11.36,16.8,24.83,8.35,13.34
28.07,11.06,4.36,7.38,9.47
3.49,7.75,17.19,6.02,10.16
30.6,42.99,60.41,13.3,21.08
12.28,0.04,0.0,3.52,3.53
4.53,12.21,32.96,7.87,13.61
60.1,46.56,36.06,13.76,19.76
3.17,7.04,15.64,5.73,9.69
73.31,36.79,18.46,12.86,17.16
39.82,33.62,28.38,11.64,16.96
21.63,30.09,41.86,11.12,17.59
